название,текст
Красное печенье,"У одних девочек была мама, а папы не было. И к маме часто приходили гости. Они с мамой веселились всю ночь и уходили. А дети ничего этого не помнили, потому что  им вечером мама давала Красное Печенье, и они все забывали. И еще у них было пианино красное.  Однажды они играли на пианино, нажали кнопочку, пианино отъехало, и открылся ход. Дети туда спустились, там был подвал со светом, и там сидели дядьки без голов, и Красное Печенье делали из их мозгов. И тогда все забывалось.  Дети позвали милицию, и она всех арестовала."
Красное печенье - 2,"Один мужчина женился на женщине. У них родился сын. Однажды эта женщина вдруг убила своего мужа, затащила его на чердак и сделала из него красное печенье. Она дала это печенье сыну. Он поел его и заболел.  Он болел все сильнее, сильнее, а его мать давала ему все больше и больше печенья, и этот мальчик умер. Милиция узнала об этом, и эту женщину посадили в тюрьму."
Красное пятно,"Одна семья получила новую квартиру. А там было красное пятно на стене. Его не успели замазать. И вот утром девочка видит, что мама ее умерла. А пятно стало еще ярче.  На другой день ночью девочка спит и чувствует, что ей очень страшно. И вдруг она видит, что из красного пятна высовывается рука и тянется к ней. Девочка испугалась,  написала записку и умерла.  Потом пришла милиция и ничего не нашла. Один милиционер выстрелил в красное пятно, и оно пропало. А потом милиционер пришел домой и видит, что у него над кроватью на стене появилось красное пятно. Он ночью спит и чувствует, что кто-то хочет его задушить. Он стал стрелять.  Прибежали соседи. Видят, милиционер лежит задушенный и никакого пятна нет."
Зеленые глаза,"В одном городе жила девочка. У нее была бабушка. Когда бабушка умирала, она сказала девочке: - Не включайте старую зеленую  пластинку.  Она закрыла глаза и умерла, и ее похоронили. Мама тоже говорила девочке: - Смотри, не включай зеленую пластинку.  А девочке не терпелось, и она все-таки включила пластинку, когда дома никого не было. И страшный голос запел:  Бегут, бегут по стенке 
Зеленые Глаза... 
Сейчас девочку задушат 
Да, да, да...  Девочка услышала звонок в дверь и выключила пластинку.  В квартиру вошла мать девочки. У матери не было одной руки. На следующий день девочка снова поставила пластинку, и ее мама вошла без двух рук.  Потом мама пришла без одной ноги. А затем и без двух ног. Когда она  пришла последний раз, то она сказала: - Ты меня погубила, и сама тоже погибнешь. Не ставь пластинку.  Но девочка не послушала мать и снова завела пластинку.  Не успела пластинка пропеть несколько слов, как раздался звонок в дверь. Девочка заглянула в глазок, но никого не увидела. Девочка все же открыла дверь, прямо перед ней стояли огромные от пола до потолка Зеленые Глаза. Они сказали: - Ты не послушала мать и погибнешь сама.  И Глаза задушили девочку."
Зеленые глаза - 2,"Жили-были мать и дочка. Пошли они в магазин. Девочка говорит: - Купи пластинку! - мать и купила. Потом она уходит на работу и говорит дочке: - Не включай без меня пластинки! А девочка включила. Они поют:  Бегут, бегут пластинки, 
Зеленые Глаза! 
Хотят они Аленку 
Зарезать навсегда!  А мать приходит домой без руки. А потом снова уходит на работу и говорит: - Не включай пластинки! А она включила. А там опять поют:  Бегут, бегут...  А мать пришла без второй руки. Потом собирается уходить на работу и говорит: - Не включай пластинки! Девочка побежала к подруге и говорит ей: - Пошли ко мне, есть у меня страшная пластинка! Они пришли и включили, а там поют:  Бегут, бегут пластинки, 
Зеленые Глаза! 
Хотят они Маринку 
Зарезать навсегда!  А мать приходит без ноги. На следующий день мать уходит и потом пришла без ног и задушила дочку."
Зеленые глаза - 3,"Жили дети: мальчик и девочка. У них умерла мама. И наказала им, чтобы они не включали одну пластинку. Они подумали: ""А почему бы не включить?"" И включили. А там поют:  Бегут, бегут по стенке 
Зеленые глаза! 
Сейчас они задушат 
Тебя, тебя, тебя!  Потом дети видят: бегут над девочкиной кроватью зеленые глаза. И они задушили девочку. Мальчик испугался и вызвал милицию. Включили пластинку, и там опять запели то же. Милиционер выстрелил и попал в один глаз. Милиционеры ушли: думали, что больше ничего не будет.  Потом мальчик услышал, что кто-то звонит. Он думал, что вернулась милиция. Открыл, а там его мать с одним глазом. Мальчик испугался и умер."
Пластинка из зеленого конверта,"Уходя на работу, мама сказала дочке: - Послушай пластинки для развлечения. Но только не бери пластинку в зеленом конверте.  Оставшись одна, девочка решила послушать пластинки. Прослушав все пластинки, девочка решила послушать пластинку из зеленого конверта! Включила ее и услышала:  По стене бегают зеленые глаза, 
По стене бегают зеленые глаза, 
Сейчас они задушат тебя!  И тут из стены к девочке стали тянуться руки. Девочка закричала, а руки все тянулись. Тогда она разбила пластинку, и руки исчезли."
Ведьмина пластинка,"Жили были мама с дочкой. Мама пошла на работу. Ее поймала ведьма и переоделась в маму. Ведьма пришла домой к девочке с пластинкой и сказала, чтобы девочка никогда не включала пластинку.  Когда ведьма ушла, девочка решила включить. Пластинка играла, и на ней появились зеленые глаза. Девочка иголкой проткнула глаза. Ведьма прибежала, спросила: - Кто включал мою пластинку?  И убила девочку."
Зеленая кукла и зеленая пластинка,"Одна девочка любила зеленый цвет. Мама купила ей в магазине зеленую куклу и такую же пластинку и сказала: - Без меня не играй этой куклой и не слушай эту пластинку.  Но дочь не послушала маму и включила пластинку. Пластинка запела:  Пляшут, пляшут зеленые глаза. 
Мать свою им не увидеть никогда.  Тут в дверь позвонили. Девочка открыла, а там стояла мать без головы. Она сказала: - Я же говорила тебе, а теперь идем со мной.  Девочка вышла во двор, и здесь зеленая кукла задушила ее."
Гроб на колесиках,"Жила-была девочка у мамы. Однажды она осталась одна. И вдруг по радио передают: - Девочка, девочка, Гроб на Колесиках выехал с кладбища, твою улицу ищет. Прячься.  Девочка испугалась, не знает, что делать. Мечется по квартире, хочет маме по телефону позвонить. А в телефон говорят: - Девочка, девочка, Гроб на Колесиках нашел твою улицу, он твой дом ищет.  Девочка пугается страшно, все замки запирает, но из дома не убегает. Дрожит. Радио снова передает: - Девочка, девочка, Гроб на Колесиках твой дом нашел.  В квартиру едет!  И так далее. Короче, когда мама домой приходит, она находит девочку неживой. Только во рту одно колесико какое-то."
